instance,k,model,runtime,lb,ub,bb-nodes,simplex-iter,num-vars,num-constrs
spain,3,D-Flow,1567.02,1191.8,1191.8,34745.0,12422007.0,2029,4912
spain,3,D-Tree,18000.0,182.1,1e+100,791279.0,83941952.0,1350,48915
spain,4,ER-S,1208.84,777.8,777.8,496.0,1576161.0,1128,49776
spain,4,D-Flow,18000.0,587.7,794.1,451985.0,163681480.0,2345,6533
spain,4,D-Tree,18000.0,170.4,1e+100,952969.0,92303454.0,1350,48915
spain,5,ER-S,1243.61,559.6,559.6,716.0,1561849.0,1128,49776
spain,5,D-Flow,18000.0,313.2,559.6,335823.0,139657933.0,2661,8154
spain,5,D-Tree,18000.0,159.0,651.0,1027136.0,62964557.0,1350,48915
spain,6,ER-S,7313.83,442.4,442.4,3706.0,5818329.0,1128,49776
spain,6,D-Flow,18000.0,188.0,442.4,375846.0,144683935.0,2977,9775
spain,6,D-Tree,18000.0,148.8,541.8,1071543.0,62295719.0,1350,48915
spain,7,ER-S,16194.48,359.6,359.6,13563.0,15520814.0,1128,49776
spain,7,D-Flow,18000.0,101.0,372.2,1128325.0,194726359.0,3293,11396
spain,7,"D-Tree",18000.01,144.10,417.50,1252890.00,78615082.00,1350,48915
spain,8,ER-S,18000.0,287.3,295.4,17011.0,17502149.0,1128,49776
spain,8,D-Flow,18000.0,71.4,303.2,2439187.0,245336248.0,3609,13017
spain,8,"D-Tree",18000.00,129.50,327.70,1539857.00,65537710.00,1350,48915
spain,9,ER-S,1922.54,235.6,235.6,2170.0,1936652.0,1128,49776
spain,9,D-Flow,18000.0,59.3,235.6,1011162.0,188882287.0,3925,14638
spain,9,D-Tree,18000.0,123.9,235.6,1999711.0,67885469.0,1350,48915
uk,10,ER-S,925.93,62.0,62.0,3298.0,1891600.0,666,22089
uk,10,D-Flow,18000.0,19.7,62.2,3735173.0,240981175.0,2830,10038
uk,10,D-Tree,18000.0,50.1,62.0,4967289.0,93838518.0,814,21605
uk,3,ER-S,852.03,348.0,348.0,691.0,1605281.0,666,22089
uk,3,D-Flow,3600.65,348.0,348.0,58675.0,24742099.0,1290,3038
uk,3,D-Tree,18000.0,92.5,386.9,1090785.0,103831582.0,814,21605
uk,4,ER-S,938.91,245.5,245.5,954.0,1607905.0,666,22089
uk,4,D-Flow,8015.73,245.5,245.5,1177164.0,123653317.0,1510,4038
uk,4,D-Tree,18000.0,80.7,245.5,1604647.0,116504818.0,814,21605
uk,5,ER-S,1665.79,182.5,182.5,1873.0,2649227.0,666,22089
uk,5,D-Flow,18000.0,157.2,182.5,1994489.0,233450755.0,1730,5038
uk,5,D-Tree,18000.0,81.1,182.5,1974995.0,122664336.0,814,21605
uk,6,ER-S,809.84,137.9,137.9,1573.0,1516420.0,666,22089
uk,6,D-Flow,18000.0,100.6,137.9,2495924.0,284501528.0,1950,6038
uk,6,D-Tree,18000.0,59.1,137.9,5971309.0,153584354.0,814,21605
uk,7,ER-S,393.71,107.7,107.7,1064.0,787652.0,666,22089
uk,7,D-Flow,18000.0,54.5,107.8,1860623.0,254978190.0,2170,7038
uk,7,D-Tree,18000.0,62.9,107.7,3713331.0,129993299.0,814,21605
uk,8,ER-S,1097.35,89.9,89.9,2530.0,1739234.0,666,22089
uk,8,D-Flow,18000.0,34.2,89.9,2597192.0,261433178.0,2390,8038
uk,8,D-Tree,18000.0,60.4,89.9,3478109.0,121617868.0,814,21605
uk,9,ER-S,1615.26,75.6,75.6,4820.0,2342450.0,666,22089
uk,9,D-Flow,18000.0,25.1,75.7,3946701.0,288078385.0,2610,9038
uk,9,D-Tree,18000.0,55.2,75.6,4242180.0,116943780.0,814,21605

